Latitude;Longitude;Count
3.98E+14;5.82E+14;601
3.84E+14;5.82E+14;21
3.94E+14;5.82E+13;905
3.84E+13;5.81E+14;1023
4.01E+13;5.81E+14;110
3.81E+14;5.82E+14;279
3.86E+14;5.82E+13;60
3.87E+14;5.82E+14;136
3.80E+14;5.81E+14;956
3.83E+14;5.81E+14;1026
3.91E+14;5.83E+13;1784
3.98E+14;5.81E+14;1656
3.91E+14;5.81E+13;1089
3.90E+14;5.82E+14;990
3.87E+14;5.82E+14;1269
4.03E+14;5.82E+14;2531
3.90E+14;5.82E+14;1989
3.92E+14;5.82E+14;914
4.00E+14;5.81E+14;1516
3.98E+14;5.82E+14;37
3.93E+14;5.82E+14;3843
4.06E+13;5.82E+14;1153
3.83E+14;5.83E+14;1688
3.76E+14;5.82E+14;2629
3.95E+14;5.81E+14;227
3.74E+14;5.82E+14;1274
3.88E+14;5.81E+14;898
3.94E+14;5.83E+14;469
3.88E+14;5.83E+14;466
3.82E+14;5.81E+14;1156
3.87E+14;5.81E+14;5627
3.85E+13;5.82E+14;2338
3.93E+14;5.81E+14;1972
3.93E+13;5.82E+14;1404
3.86E+14;5.82E+14;2849
3.87E+14;5.82E+14;3926
4.01E+13;5.82E+13;2504
3.78E+14;5.82E+13;1913
3.96E+14;5.82E+14;5125
3.88E+14;5.82E+14;4384
3.85E+14;5.82E+14;3432
3.86E+14;5.81E+13;1394
3.99E+14;5.82E+14;2148
3.92E+14;5.82E+14;2283
3.91E+14;5.82E+14;759
3.93E+14;5.82E+14;100
4.04E+14;5.82E+14;965
3.77E+14;5.82E+14;1632
3.81E+14;5.83E+14;1971
3.74E+14;5.81E+13;2089
4.00E+14;5.83E+14;2886
3.88E+14;5.83E+14;1415
3.82E+14;5.82E+14;1901
3.87E+14;5.81E+14;2272
3.86E+14;5.82E+14;1831
3.96E+13;5.83E+14;543
3.89E+14;5.82E+14;1214
3.88E+14;5.81E+13;2019
4.02E+14;5.82E+14;2411
3.89E+13;5.81E+13;1869
3.95E+14;5.81E+14;355
3.88E+14;5.82E+14;2190
3.86E+14;5.82E+14;4226
3.85E+14;5.82E+14;4425
3.86E+14;5.81E+14;4489
3.89E+14;5.82E+14;1559
3.97E+14;5.81E+14;339
4.04E+14;5.82E+14;418
3.94E+14;5.82E+14;1456
3.94E+14;5.82E+14;28
3.78E+14;5.82E+14;115
3.97E+14;5.82E+13;1278
3.85E+14;5.82E+14;865
4.03E+14;5.81E+14;1363
3.94E+14;5.82E+14;1225
3.84E+13;5.83E+14;456
3.94E+14;5.83E+13;347
3.84E+14;5.82E+13;543
3.86E+14;5.82E+14;58
3.92E+13;5.81E+14;346
3.89E+14;5.82E+13;781
3.81E+14;5.81E+14;248
3.92E+14;5.83E+14;3401
3.89E+14;5.82E+14;4232
3.88E+14;5.82E+14;720
3.97E+13;5.81E+14;776
3.94E+14;5.82E+14;1478
3.88E+14;5.81E+14;961
3.91E+14;5.82E+14;993
3.91E+14;5.81E+14;659
4.07E+14;5.81E+14;825
4.04E+14;5.82E+14;513
4.00E+14;5.82E+14;2779
